Title,Author,ISBN,My Rating,Date Read,Thoughts
"Morning Star (Red Rising Saga, #3)",Pierce Brown,0345539842,5,02/15/2025,
"Golden Son (Red Rising Saga, #2)",Pierce Brown,0345539826,5,02/15/2025,
"Red Rising (Red Rising Saga, #1)",Pierce Brown,0345539788,5,02/15/2025,
"The Drawing of the Three (The Dark Tower, #2)",Stephen        King,0451210859,4,01/15/2025,
"Dune (Dune, #1)",Frank Herbert,059309932X,5,07/15/2024,
"The Gunslinger (The Dark Tower, #1)",Stephen        King,1501143514,3,12/15/2024,"Might revise this in the future after reading the series but felt all over the place, not really sure what was happening or why it mattered. Had to trudge through it. "
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",Doris Kearns Goodwin,,5,11/15/2024,
Crypto Confidential: Winning and Losing Millions in the New Frontier of Finance,Nathaniel Eliason,0593714040,4,09/15/2024,
Destined for War: Can America and China Escape Thucydides’s Trap?,Graham Allison,0544935276,4,2023/08/22,
Excellent Sheep: The Miseducation of the American Elite and the Way to a Meaningful Life,William Deresiewicz,1476702713,4,01/15/2022,
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,0786838655,0,2023/05/05,
Anything You Want,Derek Sivers,1936719150,5,2023/03/07,
Gates of Fire,Steven Pressfield,055338368X,5,2022/12/24,
The United States of Trump,Bill O'Reilly,1250237211,4,2020/03/30,
The Art and Business of Online Writing: How to Beat the Game of Capturing and Keeping Attention,Nicolas Cole,0998203483,4,2022/12/27,
To Kill a Mockingbird,Harper Lee,0060935464,5,2022/11/26,
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,0385521316,5,2022/10/29,
The Language of God: A Scientist Presents Evidence for Belief,Francis S. Collins,0743286391,0,2022/01/17,
Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,0593138511,4,2022/08/25,
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,0765326361,5,2022/08/24,
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,0765326353,5,2022/07/16,
Outgrowing God: A Beginner’s Guide to Atheism,Richard Dawkins,1787631214,3,2022/07/19,
Project Hail Mary,Andy Weir,0593135202,4,2021/12/13,
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,1544512260,4,2022/06/29,
The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,0771060335,4,2022/05/20,
Company of One: Why Staying Small Is the Next Big Thing for Business,Paul Jarvis,1328972356,4,2021/12/21,
The Hardest Job in the World: The American Presidency,John Dickerson,1984854526,4,2021/10/10,
Getting More: How to Negotiate to Achieve Your Goals in the Real World,Stuart Diamond,0307716899,5,2021/01/01,
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,1501135910,5,2020/05/15,
Mere Christianity,C.S. Lewis,,5,2022/02/14,
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,0316010669,4,2021/09/10,"Finished after long breaks. Great book, big fan of Malcom Gladwell’s writing style. The power of unconscious thought and decision-making.<br/>"
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,0804139296,5,2022/01/05,
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,0765316897,5,2022/03/07,
Range: Why Generalists Triumph in a Specialized World,David   Epstein,0735214484,5,2022/03/03,
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,,5,2021/10/13,
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,0765316889,5,2022/02/27,
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,,5,2022/02/26,
Everybody Writes: Your Go-To Guide to Creating Ridiculously Good Content,Ann Handley,111890561X,3,2021/10/27,
Dopamine Nation: Finding Balance in the Age of Indulgence,Anna Lembke,1524746738,4,2021/09/19,
