Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",5,4.52,Del Rey,Hardcover,525,2016,2016,,2025/02/20,,,read,,,,1,0
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",5,4.48,Del Rey,ebook,466,2015,2015,,2025/02/20,,,read,,,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",5,4.27,Del Rey,Hardcover,382,2014,2014,,2025/02/13,,,read,,,,1,0
5094,"The Drawing of the Three (The Dark Tower, #2)",Stephen        King,"King, Stephen",,"=""0451210859""","=""9780451210852""",4,4.24,Signet,Paperback,463,2003,1987,,2025/01/25,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.28,Ace,Hardcover,658,2019,1965,,2025/01/23,,,read,,,,1,0
43615,"The Gunslinger (The Dark Tower, #1)",Stephen        King,"King, Stephen",,"=""1501143514""","=""9781501143519""",3,3.92,Plume,Paperback,231,2003,1982,,2025/01/11,,,read,"Might revise this in the future after reading the series but felt all over the place, not really sure what was happening or why it mattered. Had to trudge through it. ",,,1,0
17334495,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",5,4.14,Simon & Schuster,Hardcover,910,2013,2013,,2025/01/04,,,read,,,,1,0
195608683,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War",Erik Larson,"Larson, Erik",,"=""0385348746""","=""9780385348744""",0,4.20,Crown,Hardcover,565,2024,2024,,2024/10/09,to-read,to-read (#1),to-read,,,,0,0
201815797,Crypto Confidential: Winning and Losing Millions in the New Frontier of Finance,Nathaniel Eliason,"Eliason, Nathaniel",,"=""0593714040""","=""9780593714041""",4,4.28,Portfolio,Hardcover,304,2024,,,2024/09/30,,,read,,,,1,0
31125556,Destined for War: Can America and China Escape Thucydides’s Trap?,Graham Allison,"Allison, Graham",,"=""0544935276""","=""9780544935273""",4,4.20,Houghton Mifflin Harcourt,Hardcover,384,2017,2017,2023/08/22,2023/07/18,,,read,,,,1,0
18775383,Excellent Sheep: The Miseducation of the American Elite and the Way to a Meaningful Life,William Deresiewicz,"Deresiewicz, William",,"=""1476702713""","=""9781476702711""",4,3.88,Free Press,Hardcover,245,2014,2014,,2022/02/02,,,read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""0786838655""","=""9780786838653""",0,4.31,Disney Hyperion Books,Paperback,377,2006,2005,,2023/05/05,,,read,,,,1,0
11878168,Anything You Want,Derek Sivers,"Sivers, Derek",,"=""1936719150""","=""9781936719150""",5,4.11,,Kindle Edition,88,,2011,,2023/03/07,,,read,,,,1,0
1305,Gates of Fire,Steven Pressfield,"Pressfield, Steven",,"=""055338368X""","=""9780553383683""",5,4.40,Bantam,Paperback,526,2005,1998,,2022/12/24,,,read,,,,1,0
44536210,The United States of Trump,Bill O'Reilly,"O'Reilly, Bill",,"=""1250237211""","=""9781250237217""",4,4.22,Henry Holt and Co.,Kindle Edition,301,2019,2019,2020/03/30,2020/03/26,,,read,,,,1,0
55189231,The Art and Business of Online Writing: How to Beat the Game of Capturing and Keeping Attention,Nicolas Cole,"Cole, Nicolas",,"=""0998203483""","=""9780998203485""",4,4.42,Nicolas Cole,Kindle Edition,340,2020,,2022/12/27,2022/12/17,,,read,,,,1,0
